fecha,mes,anio,linea,tipo_pago,afluencia,temporal_fecha,..anio_fecha
2024-03-26,Marzo,2024,Línea 2,Gratuidad,10837,2024-03,2024
2024-03-27,Marzo,2024,Línea 2,Prepago,190487,2024-03,2024
2024-03-27,Marzo,2024,Línea 2,Gratuidad,10454,2024-03,2024
2024-03-28,Marzo,2024,Línea 2,Prepago,130782,2024-03,2024
2024-03-28,Marzo,2024,Línea 2,Gratuidad,7482,2024-03,2024
2024-03-29,Marzo,2024,Línea 2,Prepago,99598,2024-03,2024
2024-03-29,Marzo,2024,Línea 2,Gratuidad,5945,2024-03,2024
2024-03-30,Marzo,2024,Línea 2,Prepago,104483,2024-03,2024
2024-03-30,Marzo,2024,Línea 2,Gratuidad,6116,2024-03,2024
2024-03-31,Marzo,2024,Línea 2,Prepago,99751,2024-03,2024
2024-03-31,Marzo,2024,Línea 2,Gratuidad,6035,2024-03,2024
2024-04-01,Abril,2024,Línea 1,Prepago,419193,2024-04,2024
2024-04-01,Abril,2024,Línea 1,Gratuidad,24883,2024-04,2024
2024-04-02,Abril,2024,Línea 1,Prepago,449949,2024-04,2024
2024-04-02,Abril,2024,Línea 1,Gratuidad,24951,2024-04,2024
2024-04-03,Abril,2024,Línea 1,Prepago,450933,2024-04,2024
2024-04-03,Abril,2024,Línea 1,Gratuidad,24911,2024-04,2024
2024-04-04,Abril,2024,Línea 1,Prepago,448478,2024-04,2024
2024-04-04,Abril,2024,Línea 1,Gratuidad,24426,2024-04,2024
2024-04-05,Abril,2024,Línea 1,Prepago,412177,2024-04,2024
2024-04-05,Abril,2024,Línea 1,Gratuidad,26070,2024-04,2024
2024-04-06,Abril,2024,Línea 1,Prepago,340214,2024-04,2024
2024-04-06,Abril,2024,Línea 1,Gratuidad,17516,2024-04,2024
2024-04-07,Abril,2024,Línea 1,Prepago,191390,2024-04,2024
2024-04-07,Abril,2024,Línea 1,Gratuidad,11927,2024-04,2024
2024-04-08,Abril,2024,Línea 1,Prepago,433755,2024-04,2024
2024-04-08,Abril,2024,Línea 1,Gratuidad,22999,2024-04,2024
2024-04-09,Abril,2024,Línea 1,Prepago,431547,2024-04,2024
2024-04-09,Abril,2024,Línea 1,Gratuidad,21444,2024-04,2024
2024-04-10,Abril,2024,Línea 1,Prepago,396008,2024-04,2024
2024-04-10,Abril,2024,Línea 1,Gratuidad,23025,2024-04,2024
2024-04-11,Abril,2024,Línea 1,Prepago,477996,2024-04,2024
2024-04-11,Abril,2024,Línea 1,Gratuidad,23034,2024-04,2024
2024-04-12,Abril,2024,Línea 1,Prepago,433678,2024-04,2024
2024-04-12,Abril,2024,Línea 1,Gratuidad,22099,2024-04,2024
2024-04-13,Abril,2024,Línea 1,Prepago,267983,2024-04,2024
2024-04-13,Abril,2024,Línea 1,Gratuidad,15113,2024-04,2024
2024-04-14,Abril,2024,Línea 1,Prepago,194335,2024-04,2024
2024-04-14,Abril,2024,Línea 1,Gratuidad,11053,2024-04,2024
2024-04-15,Abril,2024,Línea 1,Prepago,456612,2024-04,2024
2024-04-15,Abril,2024,Línea 1,Gratuidad,22883,2024-04,2024
2024-04-16,Abril,2024,Línea 1,Prepago,429303,2024-04,2024
2024-04-16,Abril,2024,Línea 1,Gratuidad,21672,2024-04,2024
2024-04-17,Abril,2024,Línea 1,Prepago,488698,2024-04,2024
2024-04-17,Abril,2024,Línea 1,Gratuidad,24359,2024-04,2024
2024-04-18,Abril,2024,Línea 1,Prepago,456189,2024-04,2024
2024-04-18,Abril,2024,Línea 1,Gratuidad,22416,2024-04,2024
2024-04-19,Abril,2024,Línea 1,Prepago,472273,2024-04,2024
2024-04-19,Abril,2024,Línea 1,Gratuidad,24012,2024-04,2024
2024-04-20,Abril,2024,Línea 1,Prepago,311040,2024-04,2024
2024-04-20,Abril,2024,Línea 1,Gratuidad,17070,2024-04,2024
2024-04-21,Abril,2024,Línea 1,Prepago,223601,2024-04,2024
2024-04-21,Abril,2024,Línea 1,Gratuidad,11793,2024-04,2024
2024-04-22,Abril,2024,Línea 1,Prepago,439170,2024-04,2024
2024-04-22,Abril,2024,Línea 1,Gratuidad,24021,2024-04,2024
2024-04-23,Abril,2024,Línea 1,Prepago,469387,2024-04,2024
2024-04-23,Abril,2024,Línea 1,Gratuidad,26199,2024-04,2024
2024-04-24,Abril,2024,Línea 1,Prepago,477433,2024-04,2024
2024-04-24,Abril,2024,Línea 1,Gratuidad,25434,2024-04,2024
2024-04-25,Abril,2024,Línea 1,Prepago,473107,2024-04,2024
2024-04-25,Abril,2024,Línea 1,Gratuidad,24299,2024-04,2024
2024-04-26,Abril,2024,Línea 1,Prepago,472356,2024-04,2024
2024-04-26,Abril,2024,Línea 1,Gratuidad,25598,2024-04,2024
2024-04-27,Abril,2024,Línea 1,Prepago,307754,2024-04,2024
2024-04-27,Abril,2024,Línea 1,Gratuidad,17754,2024-04,2024
2024-04-28,Abril,2024,Línea 1,Prepago,200179,2024-04,2024
2024-04-28,Abril,2024,Línea 1,Gratuidad,11384,2024-04,2024
2024-04-29,Abril,2024,Línea 1,Prepago,448581,2024-04,2024
2024-04-29,Abril,2024,Línea 1,Gratuidad,24687,2024-04,2024
2024-04-30,Abril,2024,Línea 1,Prepago,463806,2024-04,2024
2024-04-30,Abril,2024,Línea 1,Gratuidad,25130,2024-04,2024
2024-04-01,Abril,2024,Línea 2,Prepago,195128,2024-04,2024
2024-04-01,Abril,2024,Línea 2,Gratuidad,11487,2024-04,2024
2024-04-02,Abril,2024,Línea 2,Prepago,216959,2024-04,2024
2024-04-02,Abril,2024,Línea 2,Gratuidad,10641,2024-04,2024
2024-04-03,Abril,2024,Línea 2,Prepago,218754,2024-04,2024
2024-04-03,Abril,2024,Línea 2,Gratuidad,12185,2024-04,2024
2024-04-04,Abril,2024,Línea 2,Prepago,220419,2024-04,2024
2024-04-04,Abril,2024,Línea 2,Gratuidad,12207,2024-04,2024
2024-04-05,Abril,2024,Línea 2,Prepago,231810,2024-04,2024
2024-04-05,Abril,2024,Línea 2,Gratuidad,10298,2024-04,2024
2024-04-06,Abril,2024,Línea 2,Prepago,152346,2024-04,2024
2024-04-06,Abril,2024,Línea 2,Gratuidad,9032,2024-04,2024
2024-04-07,Abril,2024,Línea 2,Prepago,109478,2024-04,2024
2024-04-07,Abril,2024,Línea 2,Gratuidad,5871,2024-04,2024
2024-04-08,Abril,2024,Línea 2,Prepago,229363,2024-04,2024
2024-04-08,Abril,2024,Línea 2,Gratuidad,9462,2024-04,2024
2024-04-09,Abril,2024,Línea 2,Prepago,239674,2024-04,2024
2024-04-09,Abril,2024,Línea 2,Gratuidad,12980,2024-04,2024
2024-04-10,Abril,2024,Línea 2,Prepago,255691,2024-04,2024
2024-04-10,Abril,2024,Línea 2,Gratuidad,10912,2024-04,2024
2024-04-11,Abril,2024,Línea 2,Prepago,254306,2024-04,2024
2024-04-11,Abril,2024,Línea 2,Gratuidad,10348,2024-04,2024
2024-04-12,Abril,2024,Línea 2,Prepago,249530,2024-04,2024
2024-04-12,Abril,2024,Línea 2,Gratuidad,11690,2024-04,2024
2024-04-13,Abril,2024,Línea 2,Prepago,165869,2024-04,2024
2024-04-13,Abril,2024,Línea 2,Gratuidad,7235,2024-04,2024
2024-04-14,Abril,2024,Línea 2,Prepago,107803,2024-04,2024
2024-04-14,Abril,2024,Línea 2,Gratuidad,5281,2024-04,2024
2024-04-15,Abril,2024,Línea 2,Prepago,240092,2024-04,2024
2024-04-15,Abril,2024,Línea 2,Gratuidad,12283,2024-04,2024
2024-04-16,Abril,2024,Línea 2,Prepago,250353,2024-04,2024
2024-04-16,Abril,2024,Línea 2,Gratuidad,11438,2024-04,2024
2024-04-17,Abril,2024,Línea 2,Prepago,249813,2024-04,2024
2024-04-17,Abril,2024,Línea 2,Gratuidad,9298,2024-04,2024
2024-04-18,Abril,2024,Línea 2,Prepago,238088,2024-04,2024
2024-04-18,Abril,2024,Línea 2,Gratuidad,11968,2024-04,2024
2024-04-19,Abril,2024,Línea 2,Prepago,243690,2024-04,2024
2024-04-19,Abril,2024,Línea 2,Gratuidad,10808,2024-04,2024
2024-04-20,Abril,2024,Línea 2,Prepago,176309,2024-04,2024
2024-04-20,Abril,2024,Línea 2,Gratuidad,8505,2024-04,2024
2024-04-21,Abril,2024,Línea 2,Prepago,103611,2024-04,2024
2024-04-21,Abril,2024,Línea 2,Gratuidad,6690,2024-04,2024
2024-04-22,Abril,2024,Línea 2,Prepago,241524,2024-04,2024
2024-04-22,Abril,2024,Línea 2,Gratuidad,11677,2024-04,2024
2024-04-23,Abril,2024,Línea 2,Prepago,249921,2024-04,2024
2024-04-23,Abril,2024,Línea 2,Gratuidad,9791,2024-04,2024
2024-04-24,Abril,2024,Línea 2,Prepago,258567,2024-04,2024
2024-04-24,Abril,2024,Línea 2,Gratuidad,11667,2024-04,2024
2024-04-25,Abril,2024,Línea 2,Prepago,236816,2024-04,2024
2024-04-25,Abril,2024,Línea 2,Gratuidad,12208,2024-04,2024
2024-04-26,Abril,2024,Línea 2,Prepago,242236,2024-04,2024
2024-04-26,Abril,2024,Línea 2,Gratuidad,10885,2024-04,2024
2024-04-27,Abril,2024,Línea 2,Prepago,169475,2024-04,2024
2024-04-27,Abril,2024,Línea 2,Gratuidad,8979,2024-04,2024
2024-04-28,Abril,2024,Línea 2,Prepago,105020,2024-04,2024
2024-04-28,Abril,2024,Línea 2,Gratuidad,6523,2024-04,2024
2024-04-29,Abril,2024,Línea 2,Prepago,243246,2024-04,2024
2024-04-29,Abril,2024,Línea 2,Gratuidad,11063,2024-04,2024
2024-04-30,Abril,2024,Línea 2,Prepago,235126,2024-04,2024
2024-04-30,Abril,2024,Línea 2,Gratuidad,13678,2024-04,2024
2024-05-01,Mayo,2024,Línea 1,Prepago,231362,2024-05,2024
2024-05-01,Mayo,2024,Línea 1,Gratuidad,14265,2024-05,2024
2024-05-02,Mayo,2024,Línea 1,Prepago,461393,2024-05,2024
2024-05-02,Mayo,2024,Línea 1,Gratuidad,25324,2024-05,2024
2024-05-03,Mayo,2024,Línea 1,Prepago,456324,2024-05,2024
2024-05-03,Mayo,2024,Línea 1,Gratuidad,26971,2024-05,2024
